name,review_count,country_date,review_body
me,4.0 out of 5 stars,"Reviewed in the United States on September 3, 2016","I have had this lens for 6 months now and feel I can give a useful review. The first thing is this is a large and heavy lens. I carried it on a k3ii at the state fair for a full day and was always aware that it was there. This is not a lens that I can ""forget"" is there. Only my 60-250 f4 is larger and heavier. One thing that helps though is that it does not extend when zoomed. Some have complained that the lens cap is difficult to put on and does not stay on well; I find it takes a little more attention when installing but is not that difficult and stays on as well as any other I have. The lens shade is a nice small diameter, unlike the monster on the 12-24 f4, which makes it nicer when in the backpack and not on the camera. Focus is a real issue with this lens and many have given up on it for that reason, though some seem to get a reasonably good one out of the box. Mine was OK at all focal lengths except 35mm which I fixed with a -5 setting at that length with the dock. Now it focuses as well as any lens I have. Sharpness is very good but at 35mm my FA 35 f2 is just as sharp except wide open. I have used this lens indoors without a flash but you must remember that at large f-stops the depth of field is VERY shallow and focus must be spot on to get sharp results. Focus is fast and quiet and it does not hunt. There is some flair under certain conditions but this must be expected with 17 lens elements and so much glass.The build quality is equal to any Pentax lens I have. With the limited zoom range and size and weight that cannot be ignored I consider this lens somewhat of a niche lens; too limited to be a do all walk around lens but uniquely useful for certain applications and I am very glad to own it."
Steven Thistle,5.0 out of 5 stars,"Reviewed in the United States on December 24, 2016","Recently bought this Sigma 18-35 F1.8 Art lens (Canon Mount) for my Lumix GH4 and connecting the two with my Metabones Speed Booster. I film a lot of weddings here in Cape Town, South Africa and I needed a lens that was good for ""run and gun"" shooting. After testing it out quite a bit and shooting a wedding with it, I was pleasantly surprised with just how sharp this lens is! Like.. WOW! I've been a big believer for a long time that zoom lenses just aren't the way to go, because you just don't get the image quality or the sharpness that you do with a prime lens. But this lens might be sharper than some primes that I've been using for a few years now!"
Lee O.,5.0 out of 5 stars,"Reviewed in the United States on March 30, 2015","Before purchasing this lens, I decided to rent it for a couple of days and see how well it performed.  I used it to take photos for a local late night talk show and it left me very impressed."
Marianne Bischoff,5.0 out of 5 stars,"Reviewed in the United States on September 5, 2021","I purchased this lens spontaneously in January and I have to say, this is the best lens I’ve ever purchased. I was nervous because this was the most expensive lens that I ever bought but it has now become my go to lens over my nifty fifty, ANY DAY. Catch me snapping sunsets, ocean views or taking portraits with this baby. She is perfect. The bit of a wide angle makes it so ideal for any landscapes and any kind of portraits, especially big family shots. Im a manual gal but I do really appreciate the autofocus on this, especially when I photograph the toddlers at my job who are always on the go. You won’t have a single ounce of regret purchasing this, it’s worth every penny. In fact, I just purchased another Sigma that’s coming in the mail today!"
Engedalians,5.0 out of 5 stars,"Reviewed in the United States on March 8, 2019","Everything you've read about this lens is true.  Most would call the end result ""dreamy"".  I would call it sensuous.  You can almost feel the captured scene.  This lens is truly amazing, even more so that it's reasonably priced."
dfw1417,5.0 out of 5 stars,"Reviewed in the United States on October 2, 2013",This Sigma 18-35mm F1.8 lens is super! I was reluctant to spend this much on a lens. The last zoom lens I purchased was Sigma 28-300mm f3.5-f5.6 for my Canon T2i and it has not been off the camera since I bought it over 3 years ago! Now that I got the Canon T5i I wanted a lens with great low light capability and all of Canon's was over $1000 each!
Jason Garman,5.0 out of 5 stars,"Reviewed in the United States on April 9, 2016","This lens is astoundingly sharp! I'm using this with a Canon T6i and the resulting picture quality is nothing short of amazing. That said, you will most likely encounter focusing issues when shooting wide open. Then, why a 5 star review? As other reviewers have mentioned, don't buy this lens unless you also get the corresponding SIGMA USB dock for your camera mount."
Lokiparts,5.0 out of 5 stars,"Reviewed in the United States on June 26, 2019","I love, love, love this lens. I am far from being a professional photographer, or videographer, but I would easily consider myself an advanced amateur. For a long time I have been making due with an old 50mm lens as my only real fast lens along with a hand full of slow entry-level zooms and pancake primes. I had been dying to get a fast wide prime, but I was having a hard time picking the perfect focal length. So when I found this lens and started researching it, it almost sounded too good to be true."
BS!,4.0 out of 5 stars,"Reviewed in the United States on February 23, 2020","This is indeed a sharp lens. It is bulky (much larger than one would think). The colors are neutral and the images are hard to fault. Very good for indoor and outdoor shooting. Construction is sturdy even though it has lots of plastic parts. I didn't notice any bothersome distortions. For Sony cameras, it's actually a very good choice because it doesn't have any major color casts and is even on the less saturated side, so it minimizes various color casts inherent in Sony rendering when white balance isn't calibrated to a strict 6500K daylight setting."
Evie,5.0 out of 5 stars,"Reviewed in the United States on December 8, 2018","I would like to begin with stating that I am not a professional, there is so much that I still have to learn about photography. However, I decided to take a leap and make this purchase. First, I received the item three days sooner than expected and that made me super happy. I was impressed with the quick arrival of the product. Second, upon opening up the package and pulling out the lens I was impressed by the weight of it and the feel of it. Again I'd like to state that I am not a professional, however the item did not feel cheap by any means. It has a very solid feel. I's a complete amateur  but I love, love, the effect that this specific lens give. I did only receive the lens and played with it for about an hour but still I am super excited to see what this thing can do, OH! yeah one thing that is noticeable is the AF feature, you can hear the lens trying to focus but the lens is pretty awesome I can live with it. Anyway, I will be updating my post after a couple months of use. Anyway hope that helps from an amateurs  perspective."
Haye,4.0 out of 5 stars,"Reviewed in the United States on October 31, 2013",Yesterday:
Cherish,5.0 out of 5 stars,"Reviewed in the United States on March 8, 2022",Best purchase I’ve made for my content. Definitely leveled up my videos And photos. Very clear and precise!
B Smith,5.0 out of 5 stars,"Reviewed in the United States on December 31, 2021",I cannot say if this is a great lens for portraits as I have never attempted to use it as a portrait lens. But definitely a very good overall lens. I have been using this lens quite a bit lately.
TECHFIT360,5.0 out of 5 stars,"Reviewed in the United States on September 29, 2015","Where do i begin? Before i began making youtube videos i would always hear nothing but great things about the Sigma 18-35mm F1.8. Well i recently purchased this for myself and all i can say is OMG! This lens is incredible i mean where else can you find a zoom lens that has a 1.8 F-stop. This lens lets an insane amount of light in so i can keep my iso setting pretty low when shooting inside. My video quality has left the back of the line and straight to the front. I'm talking ""Team Crispy"" You see up to this point i had been using my 18-55mm Kit lens. So i was blown away by the quality of this lens and how heavy and well made it is. The zoom ring is amazing, i get nice fluid zoom action with the Lens. I am a very happy customer and you will be too. It comes with it's own hood and a very attractive carrying bag for the lens. If i could give this 10 stars i would. The only negative thing i can say is that sometimes the focusing can be a pain, but i am very satisfied with my purchase. So to those out there who want to take their photography and videography to the next level, then this lens is for you! I hope this review helps you with your purchasing decision."
Darth Rob,5.0 out of 5 stars,"Reviewed in the United States on July 23, 2013","The image quality is exceptional and the lens is sharp even wide open. There's some blue fringing but nothing that can't be easily fixed in RAW processing, but I am just nitpicking now. The build is exceptional - the zoom and focus rings are buttery smooth and nothing like I've experienced yet. It's smoother than some L series I've handled. The HSM is super quiet and completely inaudible in normal noise level environment. One of the things that I was really impressed with was that this lens ships with its own case and hood. Even the case is well made and appears better than the case Canon ships with the L series. Canon stands to learn a lot on that front alone - it's ridiculous that Canon doesn't ship hoods with Non- L series lenses and charges an additional $50-100 depending on the lens for the hood."
Joshua A. Dunlap,5.0 out of 5 stars,"Reviewed in the United States on December 14, 2021",An amazing lens that immediately made 80% of my lens collection irrelevant. The lens stays at a wide aperture of 1.8 from 18-35mm and the images are super sharp. I highly recommend it. I wish I would have bought this sooner!
Charles Le Pere,5.0 out of 5 stars,"Reviewed in the United States on February 9, 2020","I bought this primarily for video work with my BMPCC6K.  It is a spectacularly sharp lens.  The build quality is superb.  I also have the Canon 17-55mm F/2.8 EF-S (not full frame lens).  I definitely like the wider aperture of the sigma more and the fact that the sigma does not telescope through its zoom range, unlike the canon.  But canon’s zoom range is greater and it has optical image stabilization, which I am miss greatly on the sigma.  So I end up using the sigma for shoots with people using a tripod or stabilizer and the canon for landscape work typically."
G.R.,5.0 out of 5 stars,"Reviewed in the United States on May 22, 2021","This order was “fulfilled by Amazon”. Lens/lens box and contents were placed inside a brown Amazon shipping box, w/no bubble wrap, etc., and shipped from Kentucky to Alaska via USPS. Thanks Amazon. Very kind of you."
Julia,5.0 out of 5 stars,"Reviewed in the United States on January 9, 2021","I LOOOVE this lens so much! Been wanting this for so long and finally my hubby gifted it to me for Christmas😀 I have a beauty YouTube channel, and I’ve been wanting to get that blurred background as others YouTube’s have, and I got it! Highly recommend this lens if you want to improve your video quality, trust me, your viewers will appreciate that 🔥🔥 This lens is pretty heavy, like HEAVYY:) Took me sometime to get used to that, as well as I had to use a more sturdy stand holder for my Canon M50, but that’s okay☺️ Thanks Sigma for creating such beauty ❤️❤️"
Ian,5.0 out of 5 stars,"Reviewed in the United States on November 10, 2014","I needed to upgrade my wide zoom range as I have a big gap between 16mm and 70mm.  I was using an old MF Vivitar 28-50mm as my primary lens in this range, so my love for the Sigma lens might be extremely skewed, but the Art lens is gorgeous.  The sharpness throughout the f stops is excellent where it is supposed to be, and very good where other lenses would show their weaknesses.  Whenever I scroll through my Lightroom catalog without any picture information turned on, it is immediately apparent which pictures were made with the Sigma."
Joshua,5.0 out of 5 stars,"Reviewed in the United States on July 6, 2020","Desde hace mas de veinte años me dedico a la fotografía. He aprendido que en vez de invertir en cámaras hay que invertir en lentes. Pero los mejores lentes son muy costosos. Decidí vender tres de mis lentes. Nikon 35 mm 1.8 G; Nikon 50 mm 1.8 D y mi sigma 18-50 2.8. Y coloqué la diferencia. No me arrepiento. La calidad de lente es superior(algo pesado), trabaja en cualquier condición de luz y mi Nikon D7500 trabaja superbien. Cuando lo compré temí algún defecto de micro ajuste de enfoque. Pero este lente no tuvo ningún problema. De forma preventiva compré el dock. Repito la calidad de las imágenes es superior y disfruto aun mas haciendo mis trabajos de fotografía."
DDuck4Life,5.0 out of 5 stars,"Reviewed in the United States on July 28, 2014",Fantastic lens. super sharp and has the potential to be my walk around lens. Great for anyone looking to shoot in low light situations and don't want to worry about have the correct prime lens for the situation. If you can find it in stock.
Riducharme12,5.0 out of 5 stars,"Reviewed in the United States on May 19, 2020","As someone who is just beginning to really get into film, I heard a lot of talk about this lens. I thought maybe, like most things on the internet including reviews, that it might be overhyped. I splurged though and was not disappointed. This lens is fantastic. It does everything you want and gives your film that medium/close up shot that really pops. No need to worry about if your kit glass (the lenses that most people buy with the camera) have enough depth of field to really convey what the subject is, this lens clearly emphasis it  + so much bokeh! A great overall lens for film. Would recommend to anyone who wants to start to make their shots look cinematic and beautiful."
e39'r,4.0 out of 5 stars,"Reviewed in the United States on September 30, 2016","I bought this lens as the final leg of an awesome trifecta... Panny GH4, Metabones Speed Booster and yep... SIGMA 18-35 F1.8. This is an awesome combination and it's done everything I've asked of it thus far. Just for the heck of it I put the SIGMA on my T3i to see how it compared to my Canon 17-55 2.8 EFS. I didn't do the kind of testing you see some folks do on YouTube, etc. but there seemed to be considerably less chromatic aberration around edges as compared to the Canon. I primarily shoot video and if the SIGMA had OIS I probably would have given it five stars. Be warned, it IS heavy and I do miss the range compared to the Canon but the image quality is superior. Like most photo and video equipment, whether or not this lens is for you depends on how you plan on using it. I see a lot of folks complaining about focus issues but as a videographer I just about never use autofocus and because the GH4 has focus peaking I never have a problem getting the shot."
Jason G.,5.0 out of 5 stars,"Reviewed in the United States on June 12, 2021",I had this lens before and it was super sharp then i updated the firmware and it was no lo ger as sharp.
Micah Camper,5.0 out of 5 stars,"Reviewed in the United States on December 18, 2021",This lens is really good for the price. I’m very pleased with the outcome on my BMD Pocket Cinema 6k
DJ,4.0 out of 5 stars,"Reviewed in the United States on December 23, 2019",Unheard of 1.8 zoom. Using with Sony a6600 which has IBIS. Would be nice if the lens had IS too. Len's AF not as fast as a6600's AF so it's a compromise in keeping up.
Kamelle Jaye,5.0 out of 5 stars,"Reviewed in the United States on March 21, 2019",This is my second favourite lens to use overall and my favourite lens to use for landscapes. I own a Canon 80D and I love how sharp my photos look. I'm not too technical when it comes to lens specs but as a casual photographer I usually have this and my 24-70 in my bag. I tried using it for portraits and I kept it at the 35mm focal length. (For me 18mm is a bit too wide for APS-C. I think its a 28mm Full Frame equivalent).
Michelle A.,5.0 out of 5 stars,"Reviewed in the United States on December 22, 2021",Fits the EVA1 and a good balance of primes and a zoom with the t/1.8.
Mindcontrol,5.0 out of 5 stars,"Reviewed in the United States on January 31, 2014","I originally reviewed this lens when it first came out around 5 years ago. It's IQ and quality build is second to none. There is review after review online about how good this lens is. It's interesting that I feel limited on a cropped sensor body when I use a 35mm prime, however, when I have this 18-35 I tend to want more zoom. Canon has the 17-40 f/4 that offers 5mm greater zoom however that lens is no where near as good as this lens. I don't even consider them in the same category. There is one major drawback; not enough to reduce a star, but that is the size and weight of this lens. I took some excellent low light fish photos at the Monterey Bay Aquarium with this lens. I was there for approx 4 hours and it did not weigh too heavy on me. Anything longer than 4 hours might begin to takes it's toll if you are not used to carrying around a heavy lens. Overall I don't think there is another lens like this around. It's in a class of it's own. You can replace a few primes (24 and 35mm) for this lens. I enthusiastically recommend this lens."
Randy W. Dietmeyer,5.0 out of 5 stars,"Reviewed in the United States on March 5, 2016",Without a doubt the sharpest lens I now own for my 7D Mark II.  Putting this on actually made me feel like I upgraded the camera body itself!  I just wish it had a wider zoom range and I am still swapping it for my 24-105 L.
Rider for Life,5.0 out of 5 stars,"Reviewed in the United States on April 24, 2021","This is my go to indoor lens.  f1.8 is nuts and perfect for letting light in!  My D80 loves the solid image quality.  I also use it for double duty when taking landscapes.  With this 18-35, a Sigma 24-70, and a Canon 70-300mm DOI feel set.  Oh, also a 50mm f1.8 rounds out my limited selection of lenses!"
Michael,5.0 out of 5 stars,"Reviewed in the United States on October 24, 2017","I've been using this lens with my Nikon D7100 for over three years and I use it 95% of the time as I shoot mostly landscapes and it works well for portraits too at 30-35mm.  This lens brings my Nikon crop sensor camera pretty close to full-frame quality.  The only problem I have with using a non-Nikon lens is there's no in-camera auto correction for lens distortion, so I would have to buy Adobe Lightroom to correct for the distortion.  I find Nikon's View NX2 software is excellent at post processing my RAW images so I really don't want to buy Lightroom just to fix the lens distortion.  And if I do buy Lightroom I'll have to redo all my old RAW files that I've already processed with View NX2.  But if you already have Lightroom then there's no reason not to get this lens as it's as good as it gets at a price that's a relative bargain."
Jen,5.0 out of 5 stars,"Reviewed in the United States on November 2, 2021",Amazing for portrait photography. Takes your photography from nice to AMAZING! Depth of field amazing. Totally worth the price. Pays for itself 🙌🏼
An Honest Reviewer,4.0 out of 5 stars,"Reviewed in the United States on December 19, 2017","Pretty amazing lens. It's fast, so great for indoor photography when little to no lighting equipment is available. However, it's focus is not always accurate. That, coupled with it's lack of image stabilization are huge drawbacks. Nevertheless, it is still the best 'pro' lens available for an Canon APS-C body that I know of."
KieuLy Nguyen,4.0 out of 5 stars,"Reviewed in the United States on December 3, 2019","I've been using this for 3 months now. The photos are incredibly sharp. I have to say however that this lens doesn't have image stabilization but I knew it when I bought the item. That's easily fixable with a rig. What I do find as a small pet peeve is that the lens is slow to auto-focus and makes sound that is clearly audible when I take videos. It's a small fault in the lens and, for the price, I think this is the greatest aperture and length for those starting out in film making and want an all-rounder."
Kevin,4.0 out of 5 stars,"Reviewed in the United States on February 20, 2021","Shipping packaging was lacking, lense appears to be ok, hood was broken and went thru Sigma direct to get a replacement. Not going thru this supplier in the future, others rave. Pay a tad more and get locally in your camera shop. Not saving anything here, costs you."
curious,3.0 out of 5 stars,"Reviewed in the United States on August 30, 2013",I was very excited when I was informed that the lens was available and I would get it in a few days. This excitement quickly turned into disappointment after taking a few shots with this lens.
W. Dyer,5.0 out of 5 stars,"Reviewed in the United States on September 8, 2018","A very sharp lens, with a very fast and usable large aperture, f 1.8. It is sharp at f1.8 and just gets sharper until f8 when diffraction begins to set in. It is still very usable at f16 for greater depth of field.  It is sharp across the field of view, center to corner. It has the focal length equivalent on a full frame camera of 27mm to 52mm.  Not a huge range, but a useful one.  It is reported to be sharpest at 18mm but it is sharp at all focal lengths. It is a somewhat heavy lens, but very well built.  It does not have vibration reduction.  But it is very hand holdable in the 1/25 of a second to 1/100th of a second depending on focal length.  Higher shutter speeds are of course better. Highly recommended for Nikon and Canon crop sensor cameras."
Alex Le,5.0 out of 5 stars,"Reviewed in the United States on June 12, 2021","The Sigma 18-35mm f1.8 is a pretty incredible lens. Especially since it opens to f1.8, giving that dreamy bokeh and the low light is pretty phenomenal. Autofocus is consistently fast and works well."
AG,5.0 out of 5 stars,"Reviewed in the United States on February 6, 2016",I bought this lens a few days ago and I am very impressed! This thing is razor sharp and fast! I do some event photography and I was looking for something bright and wide. The constant 1.8 aperture is great for low light situations like indoor photography. I will also be using this lens as my travel lens since it has a wide view.
Steve,5.0 out of 5 stars,"Reviewed in the United States on July 19, 2015",The reviews are spot on concerning the overall
FastK5,4.0 out of 5 stars,"Reviewed in the United States on August 20, 2015",The sigma 18-35mm is both sharp and frustrating to use. The autofocus is not reliable. But after making adjustments with the USB dock I could get it working well except when shooting objects at infinity with the focal length set to 35mm. I use the Pentax k3 which has a fine adjustment for autofocus. I have managed to more or less get it working at all focal lengths except 35mm (when the object is very far away).
Tommy D,5.0 out of 5 stars,"Reviewed in the United States on April 28, 2020","This lens turned out to be heavier than I thought it would be, but definitely not problematic.  I like the solid feel it has on the Nikon D500, and even on an older D7100.  One of the reasons I went with all Sigma lenses was because of problems with auto-focus.  Sigma gives me the option (with the USB dock) of adjusting any back or front focusing issues.  I prefer this over trying to go through the incomplete effort of changing the focus issues in the camera."
DJ Savage,5.0 out of 5 stars,"Reviewed in the United States on November 11, 2019","This lens is amazing and probably the best lens you will ever have, but it is only for cinematography.  It is a Super clear lens  Great for cinema but this is not a lens made for photography. The only thing I did not like about this lens is that it is a bit heavy but maybe that is the reason it is such a great lens, so I can live with that. You will have to add pull focus/zoom gears to this lens, not a deal breaker. If you’re serious about filming, this is your lens."
J. Greene,5.0 out of 5 stars,"Reviewed in the United States on August 5, 2013",I bought this to use with my
clovisthecat,5.0 out of 5 stars,"Reviewed in the United States on October 7, 2017","I use this on my a6500 coupled with mc-11.  sony when used with its native lenses produces a very digital-looking images. But when I put this sigma on, wow, im very surpised it produces images with full of life - similar on what i see with my 5dm4."
N. S.,5.0 out of 5 stars,"Reviewed in the United States on August 4, 2014","Yes, it's big but if you want it for it can do there's no way around it that I know of."
Rick M,5.0 out of 5 stars,"Reviewed in the United States on June 5, 2021",Very well built! Although focus is a hit and miss at low light situations. Tack sharp when it hits the spot. Impressive performance regarding image quality in low light. A modeling light is enough to get Impressive results in a studio environment.
ColoCultureMedia,5.0 out of 5 stars,"Reviewed in the United States on October 15, 2019",If you are making Youtube videos or any videos. Buy this.  There is tons of evidence that this is a great lens on Youtube.  I use this with a 70D to make YT videos and with a Lumix G85.  Yea it is heavy but no matter what you are shooting it is going to be crisp.  The only other lens I use is a 10-18 when needing a super wide angle. This is a bokeh monster.  I've even used it to vlog.  Willzworldmedia on youtube for more visuals in 4k.
GenVicious,5.0 out of 5 stars,"Reviewed in the United States on July 10, 2014","I have used a wide range and variety of lenses. This is by far one of the best and more superior lenses that I have ever used. I used to be a big supporter of 50mm f/1.4 lenses, don't get me wrong I still use my sigma 50mm, but the investment on this lens is worth EVERY penny. I'm big on videography and shoot in a lot of lowlight settings. All I have to say is, if you are big on landscape or even portrait photography, this is the lens to invest on. You won't have to upgrade for a long time. This lens heavily outweighs the use of my 50mm. I've never had a problem with any sigma lenses. I was also thinking of getting the 17-50mm f/2.8, but my room mate has one and this lens I have to say still out shines it's performance. If i could give this lens a 10/5 I would, but 5/5 should do. Hope this review finds yous well."
Fellow Traveler,5.0 out of 5 stars,"Reviewed in the United States on September 9, 2013","Congratulations to Sigma for bringing us this new and exciting product and, whats more, at an affordable price!"
S. Minor,5.0 out of 5 stars,"Reviewed in the United States on May 5, 2016","This lens is a BEAUTY. Its solid, heavy, and very premium feeling. It pairs nicely with my GH4 when using an adapter. Its VERY sharp, might as well be a prime. I essentially use it as my 24-70 on Micro 4/3. I pair it with a Rokinon 12mm so I have my wide angle covered and this baby tackles the rest. Smooth focus and aperture ring. Since I use a dummy adapter on my GH4, I haven't tested the autofocus yet. I'm very happy with the image quality and color from this lens, I haven't noticed any chromatic aberration either. It's plenty sharp for the GH4 filming in 4K. It's also very fast, which helps small sensors in dark settings. It doesn't work miracles but it holds it's own. I would definitely recommend this to anyone looking for a great all-around lens on M43."
Andrew P Sorensen,5.0 out of 5 stars,"Reviewed in the United States on September 15, 2015","First off know what you're buying...but if you do, you won't be disappointed. This is by far the sharpest lens I've shot with. I plan on shooting with this far more extensively but wanted to say I'm impressed. This is not a ""macro"" lens but I used it to shoot small objects and got far more detail than I had expected."
Murdock,4.0 out of 5 stars,"Reviewed in the United States on August 23, 2019","The lens is great! Good build quality and really sharp. I’m using it with an adapter on my Sony a6500, so I’m not sure if I’m getting the full potential of the autofocus, but it’s a great lens for an amazing price."
Jules,5.0 out of 5 stars,"Reviewed in the United States on November 12, 2021",Great lens love it
Rush Fan,5.0 out of 5 stars,"Reviewed in the United States on July 2, 2017","Couldn't be more pleased. I purchased this lens for my Canon T6S. I was a little concerned about ordering as there have been reports of focusing issues requiring the Sigma USB dock to calibrate. I decided against the dock figuring I could always add that if necessary. Well, happy to report that this lens focuses perfectly right out of the box. Both One Shot and AI Servo, no issues. Can focus within just a few inches at 35 mm (actually about 56 considering crop factor) and at f1.8, background blur is excellent and very uniform."
Benjamin Anderson,5.0 out of 5 stars,"Reviewed in the United States on July 4, 2018","I never write reviews. Today I am. Received mine today and this is the only lens I will ever need again. I was hoping to get my money's worth and I did. Right out of the box, everything I'm shooting looks amazing. The bouquet is stunning. Focusing issues that I've read about? I bought the dock and haven't fine-tuned anything yet and am not sure if I'll need to - I have no complaints. I bought this lens for video after seeing some excellent cinematic-quality footage and I was able to recreate that look within hours. Unbelievable quality. Save yourself some money - this lens is at least 3 primes in one. Amazing in low light too."
Allen,5.0 out of 5 stars,"Reviewed in the United States on April 4, 2021",I love that the lens does not extend externally when zooming. This is absolutely perfect for using with a gimbal.
amazon customer,1.0 out of 5 stars,"Reviewed in the United States on May 23, 2015","I read a lot of glowing review of this lens, including on the (Amazon affiliate) dpreview.com and DXOmark."
IBRAHIM Y,1.0 out of 5 stars,"Reviewed in the United States on December 18, 2014","I bought Nikon 35mm f/1.8G AF-S DX Lens before Sigma 18-35mm 1.8 , its Amazing and then I bought Sigma on 8th of March 2014 from Amazon The Seller  in Amazon The Camera Shop of Lansing."
